N,D,topology,trial,M,steps,rho_D_final,mm_ratio,mm_se,mm_dimension,dist_to_gamma4,eta,alignment_mean,alignment_se
5000,2,small_world,3,4769,45,0.9538,0.32560727388680744,0.003063205186810008,3,0.12460727388680742,1.0,0.008915726333093482,0.009977870320815676
5000,2,small_world,4,4767,42,0.9534,0.31399072628854197,0.003111262671660092,3,0.11299072628854195,1.0,0.01729923273528776,0.010039128651242969
5000,3,random_regular,0,4752,117,0.9504,0.4457300177367949,0.0019830372037746135,2,0.24473001773679487,1.1252277111388007,-0.003719164015027991,0.008282326191012001
5000,3,random_regular,1,4750,113,0.95,0.44269863605028,0.0020333571335249064,2,0.24169863605027997,1.3784674772168914,0.038367128802205615,0.008360509283350939
5000,3,random_regular,2,4754,125,0.9508,0.4450758055689029,0.0019954226447940673,2,0.2440758055689029,1.213071681793865,0.03502804371150754,0.008277499076307343
5000,3,random_regular,3,4751,133,0.9502,0.4504443354325149,0.0019044967069115648,2,0.24944433543251487,1.0929926061537067,0.2283143222496919,0.007899856483415457
5000,3,random_regular,4,4753,108,0.9506,0.4443486705413445,0.002007216810706047,2,0.24334867054134451,1.2533177907584443,-0.010480853899774389,0.008352718911948212
5000,3,random_regular,0,4754,31,0.9508,0.33610220429358384,0.003055583911747318,3,0.13510220429358383,1.3457405572590226,0.08109489005181193,0.008303096656766058
5000,3,random_regular,1,4775,33,0.955,0.33671219998094853,0.00305369223987424,3,0.13571219998094852,1.3886623984938813,0.0593479238560271,0.00883461111503193
5000,3,random_regular,2,4759,31,0.9518,0.3335452273194292,0.0030646206868831845,3,0.1325452273194292,0.785654290453601,0.005395242884040549,0.008404898209598197
5000,3,random_regular,3,4772,34,0.9544,0.3337421464400169,0.003061704396990728,3,0.13274214644001686,1.0347918376764689,0.10797277299984626,0.008748091569875225
5000,3,random_regular,4,4795,30,0.959,0.3256254018878859,0.00310313818978776,3,0.1246254018878859,0.9643667817309451,0.07948759725925784,0.008792500814959026
5000,3,random_regular,0,4752,123,0.9504,0.4425304743932195,0.0020349616887221315,2,0.2415304743932195,1.3675511920146117,0.014733145965988988,0.00835461142159373
5000,3,random_regular,1,4750,113,0.95,0.4448174419902308,0.0019994151884496444,2,0.2438174419902308,1.0364590433372254,0.028052287524759596,0.008161896977031492
5000,3,random_regular,2,4750,114,0.95,0.4470762075455941,0.001960754688751804,2,0.24607620754559406,1.4122217299993935,0.0015907786257901538,0.00839663408626204
5000,3,random_regular,3,4756,116,0.9512,0.44506138489491626,0.001994433719392567,2,0.24406138489491624,1.268058421557145,0.01097638735620645,0.008422103189871149
5000,3,random_regular,4,4753,121,0.9506,0.4434156179321089,0.0020214254108751693,2,0.24241561793210886,1.0920139431135703,0.015714962549381546,0.008254345790284051
5000,3,random_regular,0,4775,28,0.955,0.32800258614081806,0.003094244215855709,3,0.12700258614081805,1.043680230123886,0.05831424479188097,0.008222457995214573
5000,3,random_regular,1,4784,29,0.9568,0.3338839968012505,0.0030632489601984513,3,0.13288399680125051,1.3591880834948002,0.08285675879925072,0.008238550810474187
5000,3,random_regular,2,4761,28,0.9522,0.33085933291300396,0.0030816259222891593,3,0.12985933291300394,1.2106741052117798,0.014063353339389377,0.008509599231836452
5000,3,random_regular,3,4791,30,0.9582,0.33607208200919264,0.0030467693371545542,3,0.13507208200919263,1.2679053523578405,0.012029486180161303,0.008395317808478159
5000,3,random_regular,4,4754,29,0.9508,0.3331361627209288,0.0030687114237214004,3,0.13213616272092876,0.8585131662919192,0.008602982478833909,0.008389226384933232
5000,3,small_world,0,4751,187,0.9502,0.4398410883425166,0.002067370216060241,2,0.2388410883425166,0.7980420872422471,0.012840881121890475,0.008191821774610343
5000,3,small_world,1,4750,175,0.95,0.44505558331968753,0.001986529899301494,2,0.24405558331968752,0.8662759198602716,0.014391454615649184,0.0084407855415863
5000,3,small_world,2,4750,166,0.95,0.4397594550262636,0.0020682480978126885,2,0.2387594550262636,1.392721982094621,0.043443963556075896,0.008309607317383986
