q_access,archive_fraction_A,mass_over_mp,classicality_proxy
0.3875,0.6125,0.5222837802272478,0.9502751265876505
0.39,0.61,0.5208502868697195,0.9490443687298058
0.3925,0.6074999999999999,0.5194087613564452,0.9477883693748059
0.395,0.605,0.5179592259175319,0.9465067606310145
0.3975,0.6025,0.5165017029066088,0.9451991733342213
0.4,0.6,0.5150362148004839,0.9438652371658662
0.4025,0.5974999999999999,0.5135627841987966,0.9425045807747422
0.405,0.595,0.5120814338236698,0.9411168319021896
0.40750000000000003,0.5925,0.5105921865193586,0.9397016175107907
0.41000000000000003,0.59,0.5090950652518986,0.9382585639165709
0.41250000000000003,0.5874999999999999,0.5075900931087519,0.9367872969247111
0.41500000000000004,0.585,0.5060772932984507,0.9352874419687731
0.4175,0.5825,0.5045566891502397,0.9337586242534377
0.42,0.5800000000000001,0.5030283041137155,0.9322004689007523
0.4225,0.5775,0.5014921617584662,0.930612601099883
0.425,0.575,0.4999482857737074,0.928994646260363
0.4275,0.5725,0.49839669996791663,0.9273462301688259
0.43,0.5700000000000001,0.4968374282684663,0.9256669791492104
0.4325,0.5675,0.4952704947212549,0.9239565202264215
0.435,0.565,0.4936959234903362,0.9222144812934276
0.4375,0.5625,0.49211373885754645,0.9204404912817723
0.44,0.56,0.49052396522212993,0.9186341803354747
0.4425,0.5575,0.4889266271003626,0.9167951799882931
0.445,0.5549999999999999,0.48732174912517445,0.9149231233443179
0.4475,0.5525,0.48570935604576915,0.9130176452618628
0.45,0.55,0.4840894727272427,0.9110783825406137
0.4525,0.5475,0.48246212415019946,0.9091049741119994
0.455,0.5449999999999999,0.4808273354103679,0.9070970612327371
0.4575,0.5425,0.47918513171821264,0.9050542876815083
0.46,0.54,0.4775355383985462,0.902976299958713
0.4625,0.5375,0.47587858089013796,0.9008627474892527
0.465,0.5349999999999999,0.4742142847453227,0.8987132828282814
0.4675,0.5325,0.47254267562960567,0.8965275618698695
0.47000000000000003,0.53,0.47086377932126744,0.8943052440585115
0.47250000000000003,0.5275,0.4691776217109659,0.8920459926034175
0.47500000000000003,0.5249999999999999,0.4674842288013372,0.8897494746955147
0.47750000000000004,0.5225,0.465783626706595,0.887415361727085
0.48,0.52,0.4640758416521273,0.885043329513965
0.4825,0.5175000000000001,0.46236089997409213,0.8826330585202246
0.485,0.515,0.46063882811901175,0.8801842340852439
0.4875,0.5125,0.4589096526433644,0.8776965466530994
0.49,0.51,0.4571734002131752,0.8751696920041672
0.4925,0.5075000000000001,0.45543009760360437,0.872603371488853
0.495,0.505,0.4536797716985346,0.8699972922633489
0.4975,0.5025,0.45192244949015664,0.8673511675273157
0.5,0.5,0.4501581580785531,0.8646647167633873
0.5025000000000001,0.49749999999999994,0.44838692467127966,0.8619376659783891
0.505,0.495,0.44660877658294695,0.8591697479461586
0.5075000000000001,0.49249999999999994,0.444823741234798,0.8563607024518544
0.51,0.49,0.4430318461542861,0.8535102765376342
0.5125,0.48750000000000004,0.44123311897465006,0.850618224749582
0.515,0.485,0.4394275874344881,0.847684309385758
0.5175,0.48250000000000004,0.4376152793773302,0.8447083007452457
0.52,0.48,0.4357962227512084,0.8416899773780613
0.5225,0.47750000000000004,0.4339704456082263,0.8386291263357952
0.525,0.475,0.43213797610412585,0.8355255434228451
