mass_kg,gamma_thermal_1mK_s^-1,gamma_planck_energy_s^-1
7.017038286703837e-26,9.570675470715028e-135,212761.12160616703
8.376776400682924e-26,1.3639195169919372e-134,303206.44253760914
1e-25,1.9437253457435825e-134,432100.31091341877
1.1937766417144358e-25,2.7700081805547953e-134,615787.3069214681
1.4251026703029962e-25,3.9475460548697817e-134,877560.1354324748
1.7012542798525858e-25,5.625658423938984e-134,1250613.292356279
2.0309176209047307e-25,8.017140842167993e-134,1782252.342453355
2.4244620170823405e-25,1.1425248822369005e-133,2539892.5723840874
2.89426612471674e-25,1.6282152605633967e-133,3619607.6871872507
3.4551072945922323e-25,2.3203739156570236e-133,5158312.580459888
4.124626382901365e-25,3.306771063304244e-133,7351125.032670927
4.923882631706752e-25,4.7124882723955565e-133,10476107.913790539
5.8780160722749235e-25,6.715779620762462e-133,14929529.362325247
7.017038286703837e-25,9.570675470715027e-133,21276112.160616707
8.376776400682924e-25,1.3639195169919371e-132,30320644.253760908
1e-24,1.9437253457435822e-132,43210031.091341875
1.1937766417144357e-24,2.7700081805547945e-132,61578730.6921468
1.4251026703029963e-24,3.9475460548697824e-132,87756013.54324748
1.7012542798525857e-24,5.625658423938984e-132,125061329.23562793
2.0309176209047308e-24,8.017140842167993e-132,178225234.24533555
2.4244620170823407e-24,1.1425248822369005e-131,253989257.2384088
2.89426612471674e-24,1.6282152605633968e-131,361960768.71872514
3.455107294592232e-24,2.320373915657023e-131,515831258.0459888
4.124626382901365e-24,3.3067710633042443e-131,735112503.2670927
4.923882631706752e-24,4.712488272395556e-131,1047610791.3790538
5.878016072274924e-24,6.715779620762461e-131,1492952936.2325246
7.017038286703837e-24,9.57067547071503e-131,2127611216.0616705
8.376776400682924e-24,1.363919516991937e-130,3032064425.3760915
1e-23,1.9437253457435827e-130,4321003109.134188
1.1937766417144357e-23,2.770008180554794e-130,6157873069.214679
1.4251026703029964e-23,3.947546054869782e-130,8775601354.32475
1.7012542798525857e-23,5.625658423938985e-130,12506132923.562792
2.0309176209047305e-23,8.017140842167993e-130,17822523424.533546
2.4244620170823406e-23,1.1425248822369002e-129,25398925723.840878
2.89426612471674e-23,1.628215260563397e-129,36196076871.87252
3.455107294592232e-23,2.3203739156570236e-129,51583125804.59887
4.1246263829013647e-23,3.306771063304244e-129,73511250326.70926
4.923882631706752e-23,4.7124882723955555e-129,104761079137.90536
5.878016072274924e-23,6.71577962076246e-129,149295293623.2525
7.017038286703837e-23,9.570675470715026e-129,212761121606.167
8.376776400682925e-23,1.3639195169919376e-128,303206442537.6092
1e-22,1.9437253457435832e-128,432100310913.4188
1.1937766417144359e-22,2.7700081805547947e-128,615787306921.4683
1.4251026703029962e-22,3.947546054869781e-128,877560135432.4747
1.7012542798525995e-22,5.625658423939075e-128,1250613292356.2993
2.0309176209047307e-22,8.017140842167993e-128,1782252342453.355
2.424462017082341e-22,1.1425248822369003e-127,2539892572384.0884
2.89426612471674e-22,1.628215260563397e-127,3619607687187.2505
3.455107294592232e-22,2.3203739156570227e-127,5158312580459.888
4.124626382901365e-22,3.306771063304244e-127,7351125032670.927
4.923882631706752e-22,4.7124882723955554e-127,10476107913790.537
5.878016072274924e-22,6.7157796207624595e-127,14929529362325.248
7.017038286703837e-22,9.570675470715029e-127,21276112160616.7
8.376776400682924e-22,1.3639195169919371e-126,30320644253760.914
1e-21,1.943725345743582e-126,43210031091341.87
1.1937766417144357e-21,2.7700081805547942e-126,61578730692146.81
1.4251026703029963e-21,3.947546054869781e-126,87756013543247.48
1.7012542798525997e-21,5.625658423939077e-126,125061329235629.94
2.0309176209047305e-21,8.01714084216799e-126,178225234245335.53
2.4244620170823406e-21,1.1425248822369004e-125,253989257238408.78
2.89426612471674e-21,1.6282152605633964e-125,361960768718725.0
3.4551072945922324e-21,2.3203739156570238e-125,515831258045988.94
4.124626382901365e-21,3.3067710633042435e-125,735112503267092.6
4.923882631706752e-21,4.712488272395558e-125,1047610791379054.0
